agent_id,model_name,job_difficulty,attempted,succeeded,success_rate_pooled,avg_success_rate_per_run,std_success_rate_per_run,n_runs_with_attempt
agent_1,gemma4:e4b,easy,9,7,0.7777777777777778,0.7,0.4472135954999579,5
agent_1,gemma4:e4b,hard,87,21,0.2413793103448276,0.23782608695652172,0.06741934900336703,5
agent_1,gemma4:e4b,medium,51,21,0.4117647058823529,0.5047222222222223,0.19363820948573013,5
agent_2,nemotron-3-nano:4b,easy,39,29,0.7435897435897436,0.7787878787878788,0.13305756606121302,5
agent_2,nemotron-3-nano:4b,hard,49,8,0.16326530612244897,0.10833333333333332,0.16562172428626493,5
agent_2,nemotron-3-nano:4b,medium,54,20,0.37037037037037035,0.3861111111111111,0.11801469881248888,5
agent_3,qwen3.5:4b,easy,64,51,0.796875,0.7646339168078298,0.1814799865282478,5
agent_3,qwen3.5:4b,hard,31,4,0.12903225806451613,0.07142857142857142,0.14285714285714285,4
agent_3,qwen3.5:4b,medium,51,24,0.47058823529411764,0.3596491228070175,0.2896065617406873,5
agent_4,qwen3:8b,easy,4,3,0.75,0.75,0.5,4
agent_4,qwen3:8b,hard,26,6,0.23076923076923078,0.11948051948051948,0.19725729443835913,5
agent_4,qwen3:8b,medium,20,14,0.7,0.7055555555555555,0.21118419787498016,5
agent_5,qwen3.5:9b,easy,19,16,0.8421052631578947,0.8533333333333333,0.14452988925785867,5
agent_5,qwen3.5:9b,hard,5,2,0.4,0.41666666666666663,0.11785113019775792,2
agent_5,qwen3.5:9b,medium,9,3,0.3333333333333333,0.27999999999999997,0.4381780460041329,5
