voter_agent_id,voter_model_name,target_type,recommended_action,total_recommendations,strict_followed,action_only_followed,strict_follow_rate,action_only_follow_rate
agent_1,gemma4:e4b,other,ATTEMPT_JOB,361,172,359,0.47645429362880887,0.9944598337950139
agent_1,gemma4:e4b,other,IDLE,27,6,6,0.2222222222222222,0.2222222222222222
agent_1,gemma4:e4b,self,ATTEMPT_JOB,149,90,147,0.6040268456375839,0.9865771812080537
agent_1,gemma4:e4b,self,IDLE,2,1,1,0.5,0.5
agent_2,nemotron-3-nano:4b,other,ATTEMPT_JOB,260,83,260,0.3192307692307692,1.0
agent_2,nemotron-3-nano:4b,other,IDLE,97,7,7,0.07216494845360824,0.07216494845360824
agent_2,nemotron-3-nano:4b,self,ATTEMPT_JOB,128,67,126,0.5234375,0.984375
agent_2,nemotron-3-nano:4b,self,IDLE,13,1,1,0.07692307692307693,0.07692307692307693
agent_3,qwen3.5:4b,other,ATTEMPT_JOB,349,131,343,0.3753581661891118,0.9828080229226361
agent_3,qwen3.5:4b,other,DONATE,2,0,0,0.0,0.0
agent_3,qwen3.5:4b,other,IDLE,35,5,5,0.14285714285714285,0.14285714285714285
agent_3,qwen3.5:4b,self,ATTEMPT_JOB,145,72,145,0.496551724137931,1.0
agent_3,qwen3.5:4b,self,DONATE,1,0,0,0.0,0.0
agent_3,qwen3.5:4b,self,IDLE,4,0,0,0.0,0.0
agent_4,qwen3:8b,other,ATTEMPT_JOB,182,50,180,0.27472527472527475,0.989010989010989
agent_4,qwen3:8b,other,IDLE,3,0,0,0.0,0.0
agent_4,qwen3:8b,self,ATTEMPT_JOB,48,28,43,0.5833333333333334,0.8958333333333334
agent_5,qwen3.5:9b,other,ATTEMPT_JOB,129,38,126,0.29457364341085274,0.9767441860465116
agent_5,qwen3.5:9b,other,IDLE,8,0,0,0.0,0.0
agent_5,qwen3.5:9b,self,ATTEMPT_JOB,33,11,33,0.3333333333333333,1.0
