voter_agent_id,voter_model_name,target_type,recommended_action,enacted_recommendations,avg_actual_net_energy,total_actual_net_energy
agent_1,gemma4:e4b,other,ATTEMPT_JOB,199,-49.755628140703514,-9901.369999999999
agent_1,gemma4:e4b,other,DONATE,4,-482.1825,-1928.73
agent_1,gemma4:e4b,other,IDLE,1,-88.39,-88.39
agent_1,gemma4:e4b,self,ATTEMPT_JOB,85,43.827882352941174,3725.37
agent_1,gemma4:e4b,self,DONATE,5,-326.488,-1632.44
agent_2,nemotron-3-nano:4b,other,ATTEMPT_JOB,71,-32.78830985915493,-2327.97
agent_2,nemotron-3-nano:4b,other,DONATE,1,-192.97,-192.97
agent_2,nemotron-3-nano:4b,other,IDLE,1,-88.39,-88.39
agent_2,nemotron-3-nano:4b,self,ATTEMPT_JOB,53,20.797547169811317,1102.2699999999998
agent_3,qwen3.5:4b,other,ATTEMPT_JOB,108,-29.29074074074074,-3163.4
agent_3,qwen3.5:4b,other,DONATE,4,-290.2,-1160.8
agent_3,qwen3.5:4b,self,ATTEMPT_JOB,52,0.35499999999999854,18.459999999999923
agent_3,qwen3.5:4b,self,DONATE,5,-306.12600000000003,-1530.63
agent_4,qwen3:8b,other,ATTEMPT_JOB,102,41.72480392156863,4255.93
agent_4,qwen3:8b,other,IDLE,2,-105.97999999999999,-211.95999999999998
agent_4,qwen3:8b,self,ATTEMPT_JOB,40,-72.52149999999999,-2900.8599999999997
agent_4,qwen3:8b,self,DONATE,1,-391.3,-391.3
agent_5,qwen3.5:9b,other,ATTEMPT_JOB,57,61.46280701754386,3503.38
agent_5,qwen3.5:9b,self,ATTEMPT_JOB,26,-121.18192307692308,-3150.73
agent_5,qwen3.5:9b,self,IDLE,2,-105.97999999999999,-211.95999999999998
