agent_id,model_name,action,count,avg_count_per_run,avg_frequency_per_run,n_runs
agent_1,gemma4:e4b,ATTEMPT_JOB,129.0,25.8,0.8655172413793103,5
agent_1,gemma4:e4b,DONATE,20.0,4.0,0.13448275862068965,5
agent_1,gemma4:e4b,IDLE,0.0,0.0,0.0,5
agent_1,gemma4:e4b,INACTIVE,0.0,0.0,0.0,5
agent_2,nemotron-3-nano:4b,ATTEMPT_JOB,148.0,29.6,0.9866666666666667,5
agent_2,nemotron-3-nano:4b,DONATE,2.0,0.4,0.013333333333333332,5
agent_2,nemotron-3-nano:4b,IDLE,0.0,0.0,0.0,5
agent_2,nemotron-3-nano:4b,INACTIVE,0.0,0.0,0.0,5
agent_3,qwen3.5:4b,ATTEMPT_JOB,146.0,29.2,0.9733333333333334,5
agent_3,qwen3.5:4b,DONATE,3.0,0.6,0.019999999999999997,5
agent_3,qwen3.5:4b,IDLE,0.0,0.0,0.0,5
agent_3,qwen3.5:4b,INACTIVE,1.0,0.2,0.006666666666666666,5
agent_4,qwen3:8b,ATTEMPT_JOB,148.0,29.6,0.9866666666666667,5
agent_4,qwen3:8b,DONATE,2.0,0.4,0.013333333333333332,5
agent_4,qwen3:8b,IDLE,0.0,0.0,0.0,5
agent_4,qwen3:8b,INACTIVE,0.0,0.0,0.0,5
agent_5,qwen3.5:9b,ATTEMPT_JOB,114.0,22.8,0.8374334200421156,5
agent_5,qwen3.5:9b,DONATE,0.0,0.0,0.0,5
agent_5,qwen3.5:9b,IDLE,7.0,1.4,0.05120277468103555,5
agent_5,qwen3.5:9b,INACTIVE,15.0,3.0,0.11136380527684875,5
