experiment,agent_id,model_name,gained/spent,avg reward,avg spent,rounds active,deact. rate,energy vote/round,energy decide/round,energy act/round,energy total/round
comp,agent_1,gemma4:e4b,2.67 ± 0.21,5253.3,1964.0,30.0 ± 0.0,0%,27.1 ± 0.9,19.2 ± 0.7,19.2 ± 3.3,65.5 ± 3.4
comp,agent_2,nemotron-3-nano:4b,2.13 ± 0.15,3513.3,1646.4,30.0 ± 0.0,0%,24.3 ± 4.8,18.0 ± 3.1,12.6 ± 2.8,54.9 ± 5.1
comp,agent_3,qwen3.5:4b,2.76 ± 0.59,5876.7,2128.1,30.0 ± 0.0,0%,21.7 ± 4.7,31.8 ± 6.9,17.5 ± 5.7,70.9 ± 15.9
comp,agent_4,qwen3:8b,1.74 ± 0.49,5966.7,3440.7,30.0 ± 0.0,0%,45.3 ± 4.3,28.7 ± 2.0,40.8 ± 3.6,114.7 ± 5.0
comp,agent_5,qwen3.5:9b,1.51 ± 0.50,6970.0,4599.6,30.0 ± 0.0,0%,46.1 ± 3.4,78.0 ± 9.3,29.2 ± 3.8,153.3 ± 9.0
coop,agent_1,gemma4:e4b,2.24 ± 0.91,4313.3,1940.9,30.0 ± 0.0,0%,26.9 ± 1.6,18.0 ± 0.3,19.7 ± 1.6,64.7 ± 2.9
coop,agent_2,nemotron-3-nano:4b,2.78 ± 1.11,4845.0,1722.2,30.0 ± 0.0,0%,27.4 ± 5.2,16.0 ± 2.2,14.0 ± 5.5,57.4 ± 3.1
coop,agent_3,qwen3.5:4b,2.86 ± 1.01,6208.3,2211.5,30.0 ± 0.0,0%,25.2 ± 6.1,32.9 ± 5.9,15.6 ± 2.6,73.7 ± 7.3
coop,agent_4,qwen3:8b,1.96 ± 0.45,6091.7,3138.4,30.0 ± 0.0,0%,39.3 ± 2.4,24.1 ± 1.3,41.2 ± 6.6,104.6 ± 8.4
coop,agent_5,qwen3.5:9b,1.03 ± 0.14,4761.7,4656.5,30.0 ± 0.0,0%,45.7 ± 9.1,78.9 ± 5.7,30.7 ± 5.1,155.2 ± 12.4
