experiment,agent_id,model_name,chosen action: ATTEMPT_JOB,chosen action: IDLE,ERROR count,jobs: easy,jobs: medium,jobs: hard
comp,agent_1,gemma4:e4b,98%,2%,0,2.0,13.6,13.8
comp,agent_2,nemotron-3-nano:4b,94%,6%,12,10.0,12.8,5.4
comp,agent_3,qwen3.5:4b,99%,1%,0,8.8,12.2,8.8
comp,agent_4,qwen3:8b,100%,0%,2,2.8,6.4,20.8
comp,agent_5,qwen3.5:9b,98%,2%,16,12.2,10.2,7.0
coop,agent_1,gemma4:e4b,97%,3%,0,3.4,7.6,18.0
coop,agent_2,nemotron-3-nano:4b,100%,0%,6,5.8,10.2,14.0
coop,agent_3,qwen3.5:4b,99%,1%,0,5.8,14.8,9.2
coop,agent_4,qwen3:8b,100%,0%,1,1.8,7.6,20.6
coop,agent_5,qwen3.5:9b,97%,3%,20,18.2,7.8,3.2
